ID,BuildingType,NumFloors,LandUse,latitude,longitude
36675,,3.0,01,40.68581422972995,-73.95206448824555
36676,,3.0,01,40.6858220588228,-73.95199624393855
36677,,2.0,01,40.68583065889909,-73.9519212670414
36678,,4.0,02,40.68582534295219,-73.95183755426676
36679,,9.0,03,40.685809771584836,-73.95122138914684
36680,,2.0,05,40.68572057530011,-73.95091796596698
36681,,4.0,04,40.685652636549754,-73.95090450413167
36682,,4.0,04,40.6855664995053,-73.95088736124367
36683,,4.0,02,40.68556480724271,-73.95151310396412
36684,,0.0,11,40.68558217079609,-73.95160873725476
36685,,2.0,01,40.68554750678557,-73.9517815108177
36686,,3.0,02,40.685527522710004,-73.95208689880508
36687,,3.0,02,40.68551917392592,-73.95215995245192
36688,,3.0,02,40.685510406180825,-73.95223666755523
36689,,3.0,02,40.68550191056474,-73.9523110036952
36690,,3.0,02,40.685493555419626,-73.95238410059498
36691,,3.0,02,40.68548536666708,-73.95245575444333
36692,,3.0,02,40.685477370301875,-73.95252571354257
36693,,3.0,02,40.68546922994256,-73.95259693893321
36694,,3.0,02,40.685461545916446,-73.9526641678836
36695,,3.0,01,40.685453974706114,-73.95273040678967
36696,,3.0,01,40.6854465714841,-73.95279518736253
36697,,3.0,01,40.685439236302024,-73.95285936125174
36698,,3.0,01,40.685431919242966,-73.95292337848365
36699,,3.0,01,40.685424547909776,-73.95298787268916
36700,,3.0,01,40.685417040250194,-73.95305355854912
36701,,3.0,01,40.68540977221483,-73.9531171533353
36702,,3.0,01,40.68540301282904,-73.9531762813799
36703,,3.0,04,40.685553190229236,-73.95186231595336
36704,,3.0,02,40.68554441702484,-73.95193907900973
36705,,3.0,02,40.68553560506638,-73.95201618832095
36706,,4.0,04,40.685572072424826,-73.95169709827967
36707,,0.0,02,40.68584994494212,-73.951753148878
36708,,0.0,02,40.685860080601145,-73.951664794751
36709,,1.0,05,40.68567237197741,-73.95035259858784
36710,,3.0,04,40.68578312533178,-73.9503743610813
36711,,3.0,04,40.68583657415996,-73.95038496597904
36712,,3.0,04,40.68599116562264,-73.95052312395364
36713,,4.0,04,40.68603137332744,-73.95044477211255
36714,,4.0,04,40.68604009538254,-73.95036865359204
36715,,2.0,10,40.68595118336044,-73.95034546480862
36716,,2.0,08,40.68602740115529,-73.95020687215626
36717,,2.0,08,40.68604717827238,-73.95005513931352
36718,,2.0,08,40.68605881909283,-73.94991472080633
36719,,5.0,02,40.68607376707944,-73.94980227523172
36720,,4.0,02,40.68608213528052,-73.94972925347538
36721,,1.0,08,40.68610676956937,-73.94951428372583
36722,,3.0,04,40.68613142867563,-73.94929898743706
36723,,3.0,02,40.686139838669774,-73.94922559795728
36724,,3.0,04,40.68614795568723,-73.9491555321396
36725,,3.0,02,40.68615587587606,-73.94908519142696
36726,,0.0,11,40.686164592018756,-73.9490096862907
36727,,3.0,02,40.68617265330987,-73.94893933716052
36728,,3.0,02,40.686180480714825,-73.9488710293988
36729,,0.0,11,40.68618852156909,-73.948800857687
