ID,neighbourhood,address,latitude,longitude,type,price,zipcode
175,North Side,"395 Leonard St, Brooklyn",,,1b,4605,11211
176,North Side,"332 Manhattan Ave, Brooklyn",,,1b,3000,11211
177,North Side,"146 S 4th St, Brooklyn",,,1b,4448,11211
178,North Side,"138 E 4th St, Brooklyn",,,1b,4445,11211
179,North Side,"156 Hope St, Brooklyn",,,1b,4145,11211
180,North Side,"828 Metropolitan Ave, Brooklyn",,,1b,4100,11211
181,North Side,"623 Union Ave, Brooklyn",,,1b,3750,11211
182,North Side,"286 Manhattan Ave, Brooklyn",,,1b,4000,11211
183,North Side,"154 Hope St, Brooklyn",,,1b,4145,11211
184,North Side,"285 Division Ave, Brooklyn",,,1b,2499,11211
185,North Side,"250 N 10th St, Brooklyn",,,1b,4700,11211
186,North Side,"781 Metropolitan Ave, Brooklyn",,,1b,4199,11211
187,North Side,"8 Marcy Ave, Brooklyn",,,1b,4495,11211
188,North Side,"140 Hope St, Brooklyn",,,1b,4145,11211
189,North Side,"165 Marcy Ave, Brooklyn",,,1b,3995,11211
190,North Side,"51 Olive St, Brooklyn",,,1b,3300,11211
191,North Side,"185 S 4th St, Brooklyn",,,1b,4354,11211
192,North Side,"319 Broadway, Brooklyn",,,1b,3400,11211
193,North Side,"313 S 4th St, Brooklyn",,,1b,3200,11211
194,North Side,"240 Meeker Ave, Brooklyn",,,1b,3399,11211
195,North Side,"774 Grand St, Brooklyn",,,1b,3985,11211
196,North Side,"125 Borinquen Pl, Brooklyn",,,1b,4547,11211
197,North Side,"130 Hope St, Brooklyn",,,1b,4000,11211
198,North Side,"317 Manhattan Ave, Brooklyn",,,1b,4300,11211
199,North Side,"130 Hope St, Brooklyn",,,1b,3911,11211
200,North Side,"265 Powers St, Brooklyn",,,1b,3000,11211
201,North Side,"247 N 7th St, Brooklyn",,,1b,4900,11211
202,North Side,"205 N 8th St, Brooklyn",,,1b,3970,11211
203,North Side,"351 S 3rd St, Brooklyn",,,1b,4450,11211
204,North Side,"221 S 4th St, Brooklyn",,,1b,4500,11211
205,North Side,"218 N 7th St, Brooklyn",,,1b,2600,11211
206,North Side,"365 Union Ave, Brooklyn",,,1b,4395,11211
207,North Side,"4 Hope St, Brooklyn",,,1b,3500,11211
208,North Side,"456 Grand St, Brooklyn",,,1b,3850,11211
209,North Side,"8 Marcy Ave, Brooklyn",,,1b,4448,11211
210,North Side,"544 Union Ave, Brooklyn",,,1b,4287,11211
211,North Side,"209 Frost St, Brooklyn",,,1b,3300,11211
212,North Side,"383 S 3rd St, Brooklyn",,,1b,2800,11211
213,North Side,"160 Havemeyer St, Brooklyn",,,1b,2850,11211
214,North Side,"218 N 8th St, Brooklyn",,,1b,4800,11211
215,North Side,"113 Richardson St, Brooklyn",,,1b,2995,11211
216,North Side,"353 Broadway, Brooklyn",,,1b,2600,11211
217,North Side,"123 Hope St, Brooklyn",,,1b,4250,11211
218,North Side,"219 S 4th St, Brooklyn",,,1b,4500,11211
219,North Side,"949 Grand St, Brooklyn",,,1b,2600,11211
220,North Side,"848 Driggs Ave, Brooklyn",,,1b,3200,11211
221,North Side,"275 S 5th St, Brooklyn",,,1b,5300,11211
222,North Side,"169 Frost St, Brooklyn",,,1b,3250,11211
223,North Side,"695 Lorimer St, Brooklyn",,,1b,4700,11211
224,North Side,"710 Grand St, Brooklyn",,,1b,4300,11211
225,North Side,"253 S 3rd St, Brooklyn",,,1b,3400,11211
226,North Side,"296 Hooper St, Brooklyn",,,1b,2799,11211
227,North Side,"449 Humboldt St, Brooklyn",,,1b,3550,11211
228,North Side,"34 Berry St, Brooklyn,",,,1b,4881,11211
229,North Side,"390 S 2nd St, Brooklyn",,,1b,4000,11211
230,North Side,"155 Withers St, Brooklyn",,,1b,3950,11211
231,North Side,"134 Ainslie St, Brooklyn",,,1b,3800,11211
232,North Side,"566 Grand St, Brooklyn",,,1b,4995,11211
233,East Williamsburg,"265 Lorimer St, Brooklyn",,,Studio,3200,11206
234,East Williamsburg,"255 Lorimer St, Brooklyn",,,Studio,3150,11206
235,East Williamsburg,"27 Arion Pl, Brooklyn",,,Studio,2800,11206
236,East Williamsburg,"123 Melrose St, Brooklyn",,,Studio,2795,11206
237,East Williamsburg,"101 Varet St, Brooklyn",,,Studio,2999,11206
238,East Williamsburg,"255 McKibbin St, Brooklyn",,,Studio,4500,11206
239,East Williamsburg,"255 McKibbin St, Brooklyn",,,Studio,4000,11206
240,East Williamsburg,"817 Willoughby Ave, Brooklyn",,,Studio,1850,11206
241,East Williamsburg,"1100 Myrtle Ave, Brooklyn",,,Studio,3055,11206
242,East Williamsburg,"100 Hart St, Brooklyn",,,1b,2395,11206
243,East Williamsburg,"54 Maujer St, Brooklyn",,,1b,2695,11206
244,East Williamsburg,"10 Montieth St, Brooklyn",,,1b,3300,11206
245,East Williamsburg,"255 Lorimer St, Brooklyn",,,1b,3700,11206
246,East Williamsburg,"265 Lorimer St, Brooklyn",,,1b,3475,11206
247,East Williamsburg,"115 Stanwix St, Brooklyn",,,1b,3218,11206
248,East Williamsburg,"210 Cook St, Brooklyn",,,1b,3270,11206
249,East Williamsburg,"187 Meserole St, Brooklyn",,,1b,3100,11206
250,East Williamsburg,"1100 Myrtle Ave, Brooklyn",,,1b,3055,11206
251,East Williamsburg,"216 Boerum St, Brooklyn",,,1b,3595,11206
252,East Williamsburg,"250 Moore St, Brooklyn",,,1b,3975,11206
253,East Williamsburg,"207 Leonard St, Brooklyn",,,1b,3500,11206
254,East Williamsburg,"54 Noll St, Brooklyn",,,1b,3562,11206
255,East Williamsburg,"53 Pulaski St, Brooklyn",,,1b,2300,11206
256,East Williamsburg,"912 Broadway, Brooklyn",,,1b,3250,11206
257,East Williamsburg,"148 Evergreen Ave, Brooklyn",,,1b,2700,11206
258,East Williamsburg,"163 Graham Ave, Brooklyn",,,1b,3399,11206
259,East Williamsburg,"879 Park Ave, Brooklyn",,,1b,2225,11206
260,East Williamsburg,"707 Willoughby Ave, Brooklyn",,,1b,3400,11206
261,East Williamsburg,"817 Willoughby Ave, Brooklyn",,,1b,2200,11206
262,East Williamsburg,"222 Johnson Ave, Brooklyn",,,1b,3995,11206
263,East Williamsburg,"123 Melrose St, Brooklyn",,,1b,3350,11206
264,East Williamsburg,"255 McKibbin St, Brooklyn",,,1b,6000,11206
265,East Williamsburg,"255 McKibbin St, Brooklyn",,,1b,6500,11206
266,East Williamsburg,"168 Evergreen Ave, Brooklyn",,,1b,3475,11206
267,East Williamsburg,"168 Evergreen Ave, Brooklyn",,,1b,3300,11206
268,East Williamsburg,"207 Johnson Ave, Brooklyn",,,1b,2899,11206
269,East Williamsburg,"791 Flushing Ave, Brooklyn",,,1b,2950,11206
270,East Williamsburg,"92 Meserole St, Brooklyn",,,1b,2970,11206
271,East Williamsburg,"143 Meserole St, Brooklyn",,,1b,4595,11206
272,East Williamsburg,"153 Heyward St, Brooklyn",,,1b,3100,11206
273,East Williamsburg,"30 Belvidere St, Brooklyn",,,1b,2796,11206
274,East Williamsburg,"150 Noll St, Brooklyn",,,1b,3238,11206
275,East Williamsburg,"108 Central Ave, Brooklyn",,,1b,2300,11206
276,East Williamsburg,"210 Meserole St, Brooklyn",,,1b,2490,11206
277,East Williamsburg,"31 Graham Ave, Brooklyn",,,1b,2500,11206
278,East Williamsburg,"138 Scholes St, Brooklyn",,,1b,2900,11206
279,Clint Hill,"100 Steuben St, Brooklyn",,,Studio,2650,11205
280,Clint Hill,"105 Grand Ave, Brooklyn",,,Studio,3400,11205
281,Clint Hill,"58 Vanderbilt Ave, Brooklyn",,,Studio,3050,11205
282,Clint Hill,"72 Clermont Ave, Brooklyn",,,Studio,2450,11205
